               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073863,            0.027204,            0.048052,             0.36735,             0.62021,             0.43443,             0.19756,            0.046319,           0.0089252,            0.031225,            0.070227,           0.0033081,           0.0033081
                   1,            0.052349,            0.018043,            0.030536,             0.57669,             0.73746,             0.66476,             0.39035,            0.046094,            0.006822,            0.018036,            0.040162,           0.0065757,           0.0065757
                   2,            0.050074,            0.016035,            0.023733,             0.74703,             0.67738,             0.76834,             0.46633,            0.035862,           0.0081076,             0.01865,             0.01003,           0.0097772,           0.0097772
                   3,            0.043977,            0.016422,            0.022386,             0.63419,             0.60701,             0.65064,             0.40968,            0.036341,            0.008423,            0.020249,            0.009703,            0.009703,            0.009703
                   4,            0.040413,            0.016331,            0.021563,              0.8156,             0.75382,             0.83527,             0.51481,            0.033951,           0.0087748,            0.016374,            0.009703,            0.009703,            0.009703
                   5,            0.038267,            0.016139,            0.020735,             0.77455,             0.77456,             0.83225,             0.52408,             0.03386,           0.0078512,            0.012517,            0.009604,            0.009604,            0.009604
                   6,            0.038068,            0.016599,            0.020531,              0.7765,             0.75434,             0.82961,             0.56712,            0.029965,           0.0080666,             0.01813,            0.009505,            0.009505,            0.009505
                   7,            0.035912,            0.016484,            0.019276,             0.87752,             0.83237,              0.9036,             0.65441,            0.027975,           0.0072988,            0.013164,            0.009406,            0.009406,            0.009406
                   8,            0.036098,            0.016055,            0.017797,             0.78911,             0.76169,             0.83553,             0.59844,            0.029056,           0.0077685,            0.017682,            0.009307,            0.009307,            0.009307
                   9,            0.035369,            0.015978,             0.01843,             0.84826,             0.81332,             0.89175,             0.64284,            0.027566,           0.0077663,            0.014744,            0.009208,            0.009208,            0.009208
                  10,            0.033968,            0.015498,            0.014439,             0.81607,             0.78473,             0.87543,              0.6219,            0.028679,           0.0076037,            0.012012,            0.009109,            0.009109,            0.009109
                  11,            0.033958,            0.015492,            0.014964,             0.85985,             0.82972,             0.89862,             0.64073,             0.02915,            0.007071,            0.011857,             0.00901,             0.00901,             0.00901
                  12,            0.033287,            0.015469,            0.016739,             0.85808,              0.8404,             0.90714,             0.67441,             0.02758,           0.0070506,            0.011617,            0.008911,            0.008911,            0.008911
                  13,            0.032548,            0.015097,            0.013979,             0.85714,             0.82173,             0.90005,             0.65258,            0.027259,           0.0073437,            0.010943,            0.008812,            0.008812,            0.008812
                  14,            0.033591,            0.015128,            0.014603,             0.86036,             0.82596,             0.89746,             0.65221,            0.025823,           0.0071139,            0.010428,            0.008713,            0.008713,            0.008713
                  15,            0.031226,            0.015118,             0.01399,              0.8768,             0.85614,             0.92006,             0.68421,            0.026776,           0.0070418,            0.011845,            0.008614,            0.008614,            0.008614
                  16,            0.030009,            0.014729,            0.013586,             0.90899,             0.87086,             0.93585,             0.71028,            0.025914,           0.0068138,            0.010282,            0.008515,            0.008515,            0.008515
                  17,            0.029613,            0.014745,            0.012683,             0.90475,             0.87803,             0.94339,             0.72457,            0.024212,           0.0067298,           0.0092997,            0.008416,            0.008416,            0.008416
                  18,             0.02905,            0.014529,            0.014753,              0.8996,             0.84636,             0.92627,              0.7191,            0.024469,           0.0068866,            0.012444,            0.008317,            0.008317,            0.008317
                  19,            0.029607,             0.01466,            0.013402,             0.89377,             0.86708,             0.93373,             0.72167,            0.024274,           0.0066069,            0.010407,            0.008218,            0.008218,            0.008218
                  20,            0.029626,            0.013974,            0.011891,             0.84126,             0.85244,             0.92059,              0.7016,            0.024001,           0.0067135,           0.0088545,            0.008119,            0.008119,            0.008119
                  21,            0.028129,            0.013895,            0.010511,             0.91482,             0.88993,             0.94844,             0.74144,            0.024107,           0.0065641,            0.008656,             0.00802,             0.00802,             0.00802
                  22,            0.028133,            0.013497,            0.011361,             0.90058,             0.89513,             0.94897,              0.7409,            0.023744,           0.0064804,           0.0086017,            0.007921,            0.007921,            0.007921
                  23,            0.028025,            0.013831,            0.010913,             0.91088,             0.89785,             0.94945,             0.75123,            0.024552,           0.0063602,           0.0083412,            0.007822,            0.007822,            0.007822
                  24,            0.028354,            0.013273,            0.011313,              0.9069,             0.87506,             0.94209,             0.74752,            0.024401,           0.0065145,           0.0090444,            0.007723,            0.007723,            0.007723
                  25,            0.026419,            0.013481,            0.010606,             0.93261,             0.89505,             0.95512,             0.76758,            0.022174,           0.0060861,           0.0078374,            0.007624,            0.007624,            0.007624
                  26,            0.026591,            0.013516,            0.010016,             0.91419,             0.89221,             0.94991,             0.76886,            0.021788,           0.0060803,           0.0072637,            0.007525,            0.007525,            0.007525
                  27,            0.026716,            0.013226,           0.0096247,             0.90642,             0.90865,             0.95666,             0.76487,            0.022163,           0.0058834,            0.010415,            0.007426,            0.007426,            0.007426
                  28,            0.026024,            0.013206,            0.010262,             0.92402,             0.89699,             0.95716,             0.77934,            0.021911,           0.0060305,           0.0074287,            0.007327,            0.007327,            0.007327
                  29,            0.025544,            0.013151,           0.0098714,             0.91705,              0.9011,             0.95514,             0.78095,            0.022899,           0.0059634,           0.0090278,            0.007228,            0.007228,            0.007228
                  30,            0.026588,            0.013202,           0.0096043,             0.91003,             0.91144,             0.95566,             0.77962,            0.022246,           0.0059884,           0.0083743,            0.007129,            0.007129,            0.007129
                  31,             0.02476,            0.012759,           0.0088722,              0.8963,             0.89559,             0.94084,             0.76996,            0.022142,           0.0059185,           0.0099606,             0.00703,             0.00703,             0.00703
                  32,            0.025623,            0.012709,           0.0087078,             0.92735,             0.90026,             0.96013,             0.77872,            0.021661,           0.0061106,           0.0083382,            0.006931,            0.006931,            0.006931
                  33,            0.025151,            0.012564,           0.0099624,              0.9225,             0.91182,              0.9636,             0.78132,            0.021774,           0.0059727,           0.0075774,            0.006832,            0.006832,            0.006832
